Event Name,Date,Description
U.S. Debt Ceiling Crisis,2013-10-01,Political uncertainty over the U.S. debt ceiling led to a government shutdown and market volatility with the S&P 500 dropping ~4%.
Taper Tantrum,2013-05-22,The Federal Reserve signaled it might reduce its bond-buying program (quantitative easing) leading to a sharp rise in bond yields and a temporary S&P 500 dip.
2015–2016 Market Selloff,2015-08-24,Global markets including the S&P 500 experienced a sharp selloff due to concerns over China’s economic slowdown and falling oil prices. The S&P 500 dropped over 10%.
2018 Market Correction,2018-10-03,The S&P 500 entered a correction (down ~10%) due to rising interest rates trade tensions with China and fears of a slowing global economy.
U.S.-China Trade War Escalation,2019-05-05,The U.S. increased tariffs on Chinese goods escalating trade tensions leading to a ~6% drop in the S&P 500 in May 2019.
COVID-19 Market Crash,2020-02-19,The S&P 500 peaked at 3386 before plummeting 34% by March 23 2020 due to the global spread of COVID-19 and lockdown measures.
Oil Price Crash,2020-04-20,West Texas Intermediate (WTI) crude oil prices briefly turned negative due to oversupply and lack of storage capacity during the COVID-19 pandemic impacting energy markets.
Unemployment Peak (COVID-19),2020-04-01,U.S. unemployment spiked to 14.8% the highest since the Great Depression due to COVID-19 lockdowns.
S&P 500 Recovery Post-COVID,2020-08-18,The S&P 500 recovered to its pre-COVID peak closing above 3386 driven by stimulus measures and monetary policy support.
Inflation Surge Begins,2021-04-01,Inflation began rising sharply driven by supply chain disruptions stimulus spending and post-COVID demand recovery. CPI reached 5% by May 2021.
U.S. Infrastructure Bill,2021-11-15,The U.S. passed a $1.2 trillion infrastructure bill boosting economic growth expectations and market sentiment.
S&P 500 Record High (Pre-2022 Dip),2022-01-03,The S&P 500 hit a record high of 4796 before inflationary pressures and Fed rate hikes led to a correction.
Russia-Ukraine War Begins,2022-02-24,Russia’s invasion of Ukraine drove up energy and commodity prices exacerbating global inflation and contributing to market volatility.
Fed Rate Hikes Begin,2022-03-16,The Federal Reserve began raising interest rates to combat inflation starting with a 25-basis-point hike eventually reaching 4.25%–4.5% by the end of 2022.
2022 Market Correction,2022-06-13,The S&P 500 entered a bear market falling 20% from its January peak due to inflation fears and Fed tightening. The index bottomed at 3577 on October 12 2022.
Inflation Peak,2022-06-01,U.S. inflation (CPI) peaked at 9.1% the highest in 40 years prompting aggressive Fed rate hikes.
End of 2022 Bear Market,2023-06-08,The S&P 500 closed at 4293 marking a 20% rally from its October 2022 low signaling the end of the bear market.
2023 Market Recovery,2023-10-30,After a correction (down 10.3% from July to October 2023) the S&P 500 rebounded driven by cooling inflation and strong earnings.
S&P 500 All-Time High (2024),2024-02-19,The S&P 500 reached an all-time high gaining 4.5% year-to-date before entering a correction in early 2025.
Fed Rate Cut (Post-Inflation),2024-12-18,The Fed cut rates by 25 basis points to a range of 4.25%–4.5% adopting a neutral stance as inflation eased.